division,sub-division,country,city,zip,lat,lon
Other Operations division,Bi Gerätetechnik,Germany,Bitterfeld,6749,51.626533,12.313306
Other Operations division,Bi Gerätetechnik,Germany,Bochum,44805,51.481845,7.216236
Other Operations division,Bi Gerätetechnik,Germany,Ludwigshafen,67059,49.47741,8.44518
Other Operations division,Babcock Fertigungszentrum,Germany,Oberhausen,46049,51.496334,6.863776
Other Operations division,Babcock Kraftwerksservice,Germany,Peitz,3185,51.866667,14.416667
Maintenance. Modifications & Operations,Babcock Borsig Steinmüller Kuwait,Kuwait,Safat,PO Box 26401,29.371265,47.973479
Engineering & Technologies,Bi GreyLogix,Netherlands,Schiedam,PO box 922 - 3100 AX,51.91696,4.398819
Maintenance. Modifications & Operations,Bi Industrial Services België/Nederland,Netherlands,Zwartewaal,3238,51.883536,4.220093
Maintenance. Modifications & Operations,Bi Industrial Services België/Nederland,Netherlands,SC Roosendaal,4704,51.517646,4.452068
Maintenance. Modifications & Operations,Bi Industrial Services België/Nederland,Netherlands,Deest,6653,51.889231,5.666011
Maintenance. Modifications & Operations,Bi Industrial Services België/Nederland,Netherlands,Groningen,9723,53.219384,6.566502
Maintenance. Modifications & Operations,Bi Industrial Services België/Nederland,Netherlands,Velsen-Noord,1951,52.472747,4.639247
Maintenance. Modifications & Operations,Bi Industrial Services België/Nederland,Netherlands,Roosendaal,4704,51.535849,4.465321
Maintenance. Modifications & Operations,Bi Industrial Services België/Nederland,Netherlands,Le Rœulx,7070,50.50293,4.108731
Maintenance. Modifications & Operations,Bi ROB Group,Netherlands,AV Terneuzen,NL-4538,51.330729,3.835298
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Bamble,,59.003064,9.741111
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Glamfjord,,66.816633,13.944044
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Holmestrand,,59.489919,10.315035
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Hoyanger,,61.220065,6.075744
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Karmoy,,59.280102,5.307111
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Kristiansand,,58.159912,8.018206
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Helgeland,,65.758058,12.103978
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Odda,,60.067604,6.547328
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Porsgrunn,,59.138557,9.655515
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Rjukan,,59.880082,8.614134
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Sunndalsora,,62.673517,8.566112
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Svelgen,,61.768524,5.29551
Maintenance. Modifications & Operations,Bi Industrial Services Norway,Norway,Ardal,,61.238625,7.710262
Maintenance. Modifications & Operations,Bi Industrier Norge/Denmark,Norway,Stavanger,4033,58.969976,5.733107
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Warsaw,03-309,52.229676,21.012229
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Gda?sk,80-718,54.352025,18.646638
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Kostrzyn nad Odr?,66-470,52.587189,14.649447
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Kozienice,26-900,51.585533,21.551177
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,O?arów,27-530,50.88758,21.66654
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Pozna?,61-248,52.406374,16.925168
Maintenance. Modifications & Operations,Bi Industrial Services Polska,Poland,Szczecin,70-661,53.428544,14.552812
