id,Country,accomodation_5,accomodation_4,accomodation_3,accomodation_2,accomodation_1,accomodation,food_expensive,food,alcohol,culture,transportation,transportation_taxi,shopping,average_accomodation,average_food,average_transportation,average_food_x2,total_average,total_expensive,total_cheap
FRA,France,252.87,120.69,93.1,74.71,50.57,16.09,36.78,11.72,7.82,28.74,4.6,9.66,56.74,101.34,24.25,7.13,48.5,216.03,392.61,125.71
GAB,Gabon,466.67,242.53,124.14,90.8,0,0,41.9,4.37,1.15,0,0.69,4.14,19.3,154.02,23.14,2.42,46.27,181.72,533.16,25.51
GMB,Gambia,0,180.46,48.28,0,0,0,13.22,2.53,1.61,0,0.46,1.38,15.23,38.12,7.88,0.92,15.75,57.72,31.44,19.83
GEO,Georgia,310.34,124.14,79.31,52.87,39.08,11.49,13.16,7.93,1.26,8.74,0.69,2.76,61.51,102.87,10.55,1.73,21.09,179.56,397.77,91.62
DEU,Germany,251.72,174.71,118.39,68.97,47.13,36.78,31.38,10.23,4.71,19.54,7.82,15.17,52.56,116.28,20.81,11.5,41.61,227.58,375.08,131.64
GHA,Ghana,459.77,275.86,134.48,79.31,45.98,18.39,28.74,8.85,2.3,2.76,1.38,14.48,28.72,168.97,18.8,7.93,37.59,226.54,536.77,62.4
GRC,Greece,158.62,91.95,64.37,50.57,36.78,16.09,27.47,9.43,5.52,16.09,3.68,9.66,53.6,69.73,18.45,6.67,36.9,164.95,270.96,104.41
GRL,Greenland,0,0,0,0,0,141.38,42.07,15.75,12.07,39.08,7.36,22.07,58.49,23.56,28.91,14.72,57.82,177.35,173.78,274.13
GTM,Guatemala,228.74,159.77,109.2,26.44,18.39,6.9,14.83,5.63,2.3,19.54,0.46,17.93,59.53,91.57,10.23,9.2,20.46,200.53,342.87,94.36
GUY,Guyana,0,143.68,96.55,0,0,63.22,17.24,7.47,1.72,0,1.15,6.21,46.51,50.58,12.36,3.68,24.71,109.85,71.68,120.07
HTI,Haiti,172.41,134.48,86.21,63.22,68.97,34.48,12.36,4.83,1.26,11.49,0.92,3.45,40.7,93.3,8.6,2.19,17.19,153.3,241.67,93.68
HND,Honduras,286.21,128.74,75.86,28.74,0,0,11.38,5.75,1.38,19.54,1.15,13.79,42.44,86.59,8.57,7.47,17.13,172.36,374.74,70.26
HUN,Hungary,167.82,85.06,54.02,54.02,29.89,17.24,18.91,07.01,1.72,11.15,3.45,8.28,43.95,68.01,12.96,5.87,25.92,142.42,251.83,84.52
ISL,Iceland,313.79,165.52,119.54,80.46,47.13,28.74,50.69,13.22,8.62,67.82,7.13,18.62,109.42,125.86,31.96,12.88,63.91,350.35,568.96,234.95
